学校名称,学校标识码,主管部门,所在地,办学层次,备注,en-name(baidu),en-name(youdao)
北京工商大学嘉华学院,4111013630,北京市教委,北京市,本科,民办,Jiahua College of Beijing Business University,Beijing industry and commerce university institute of ka wah
北京邮电大学世纪学院,4111013901,北京市教委,北京市,本科,民办,Century College of Beijing University of Posts and Telecommunications,Beijing university of posts and telecommunications century college
北京工业大学耿丹学院,4111013904,北京市教委,北京市,本科,民办,"Gengdan College, Beijing University of Technology",Institute of Beijing university of technology GengDan
北京警察学院,4111014019,北京市,北京市,本科,,Beijing Police Academy,Beijing police academy
北京第二外国语学院中瑞酒店管理学院,4111014201,北京市教委,北京市,本科,民办,"Zhongrui Hotel Management College, Beijing Second Foreign Languages College",Beijing second foreign language college of hotel management college
中国科学院大学,4111014430,中国科学院,北京市,本科,,University of Chinese Academy of Sciences,University of Chinese academy of sciences
中国社会科学院大学,4111014596,中国社会科学院,北京市,本科,,University of Chinese Academy of Social Sciences,University of Chinese academy of social sciences
北京工业职业技术学院,4111010853,北京市,北京市,专科,,Beijing Industrial Vocational and Technical College,Beijing industrial vocational and technical college
北京信息职业技术学院,4111010857,北京市,北京市,专科,,Beijing Institute of Information Technology,Beijing institute of information technology
北京电子科技职业学院,4111010858,北京市,北京市,专科,,Beijing Vocational College of Electronic Science and Technology,Beijing vocational college of electronic science and technology
北京京北职业技术学院,4111011090,北京市,北京市,专科,,Beijing Jingbei Vocational and Technical College,Beijing north of Beijing vocational and technical college
北京交通职业技术学院,4111011092,北京市,北京市,专科,,Beijing Vocational and Technical College of Communications,Beijing jiaotong vocational and technical college
北京青年政治学院,4111011626,北京市,北京市,专科,,Beijing Youth Political College,Beijing youth political college
北京农业职业学院,4111012448,北京市,北京市,专科,,Beijing Agricultural Vocational College,Beijing agricultural vocational college
北京政法职业学院,4111012451,北京市,北京市,专科,,Beijing College of Politics and Law,Beijing vocational college of politics and law
北京财贸职业学院,4111012561,北京市,北京市,专科,,Beijing Vocational College of Finance and Commerce,Beijing finance &trade vocational college
北京北大方正软件职业技术学院,4111012564,北京市教委,北京市,专科,民办,Beijing Peking University Founder Software Vocational and Technical College,Beijing Peking University founder software professional technology institute
北京经贸职业学院,4111012565,北京市教委,北京市,专科,民办,Beijing Vocational College of Economics and Trade,Beijing economic and trade vocational college
北京经济技术职业学院,4111012566,北京市教委,北京市,专科,民办,Beijing Vocational College of Economics and Technology,Beijing economic and technical vocational college
北京戏曲艺术职业学院,4111012567,北京市,北京市,专科,,Beijing Opera Arts Vocational College,Beijing Opera art professional college
北京汇佳职业学院,4111012568,北京市教委,北京市,专科,民办,Beijing Huijia Vocational College,Beijing huijia vocational college
北京科技经营管理学院,4111012733,北京市教委,北京市,专科,民办,Beijing Institute of Science and Technology Management,Beijing science and technology institute of management
北京科技职业学院,4111013703,北京市教委,北京市,专科,民办,Beijing Vocational College of Science and Technology,Beijing vocational college of science and technology
北京培黎职业学院,4111013728,北京市教委,北京市,专科,民办,beijing bailie university,Beijing bailie vocational college
北京经济管理职业学院,4111014073,北京市,北京市,专科,,Beijing Vocational College of Economic Management,Beijing institute of economic management professional
北京劳动保障职业学院,4111014075,北京市,北京市,专科,,Beijing Vocational College of Labor and Social Security,Beijing vocational college of labor security
北京社会管理职业学院,4111014139,北京市,北京市,专科,,Beijing Vocational College of Social Management,Beijing vocational college of social management
北京艺术传媒职业学院,4111014140,北京市教委,北京市,专科,民办,Beijing Vocational College of Arts and Media,Beijing vocational college of art media
北京体育职业学院,4111014215,北京市,北京市,专科,,Beijing Sports Vocational College,Beijing sports vocational college
北京交通运输职业学院,4111014279,北京市,北京市,专科,,Beijing Transportation Vocational College,Beijing vocational college of transportation
北京卫生职业学院,4111014395,北京市,北京市,专科,,Beijing Vocational College of Health,Beijing health vocational college
北京网络职业学院,4111014588,北京市教委,北京市,专科,民办,Beijing Network Vocational College,Beijing vocational college of network
南开大学,4112010055,教育部,天津市,本科,,Nankai University,Nankai university
天津大学,4112010056,教育部,天津市,本科,,Tianjin University,Tianjin university
天津科技大学,4112010057,天津市,天津市,本科,,Tianjin University of Science and Technology,Tianjin university of science and technology
天津工业大学,4112010058,天津市,天津市,本科,,Tianjin Polytechnic University,Tianjin university of technology
中国民航大学,4112010059,交通运输部,天津市,本科,,Civil Aviation University of China,Civil aviation university of China
天津理工大学,4112010060,天津市,天津市,本科,,Tianjin University of Technology,Tianjin university of technology
天津农学院,4112010061,天津市,天津市,本科,,tianjin agricultural university,Tianjin agronomy
天津医科大学,4112010062,天津市,天津市,本科,,Tianjin Medical University,Tianjin medical university
天津中医药大学,4112010063,天津市,天津市,本科,,Tianjin University of Traditional Chinese Medicine,Tianjin university of Chinese medicine
天津师范大学,4112010065,天津市,天津市,本科,,Tianjin Normal University,Tianjin normal university.
天津职业技术师范大学,4112010066,天津市,天津市,本科,,Tianjin University of Technology and Education,Tianjin vocational technology normal university
天津外国语大学,4112010068,天津市,天津市,本科,,Tianjin Foreign Studies University,Tianjin foreign studies university
天津商业大学,4112010069,天津市,天津市,本科,,Tianjin University of Commerce,Tianjin commercial university
天津财经大学,4112010070,天津市,天津市,本科,,Tianjin University of Finance and Economics,Tianjin university of finance and economics
天津体育学院,4112010071,天津市,天津市,本科,,Tianjin University of Sport,Tianjin sports college
天津音乐学院,4112010072,天津市,天津市,本科,,Tianjin Conservatory of Music,Tianjin music college
天津美术学院,4112010073,天津市,天津市,本科,,tianjin academy of fine arts,Tianjin academy of fine arts
天津城建大学,4112010792,天津市,天津市,本科,,Tianjin Chengjian University,Tianjin urban construction university
天津天狮学院,4112010859,天津市教委,天津市,本科,民办,Tianjin Tianshi College,Tianjin days lion college
天津中德应用技术大学,4112012105,天津市,天津市,本科,,Tianjin Sino-German University of Applied Technology,Tianjin sino-german application technology university
天津外国语大学滨海外事学院,4112013658,天津市教委,天津市,本科,民办,"Binhai College of Foreign Affairs, Tianjin Foreign Studies University",Tianjin foreign studies university binhai foreign affairs college
天津体育学院运动与文化艺术学院,4112013659,天津市教委,天津市,本科,民办,"Institute of Sports, Culture and Art, Tianjin Institute of Physical Education",Tianjin sports college sports college of art and culture
天津商业大学宝德学院,4112013660,天津市教委,天津市,本科,民办,"Baode College, Tianjin Commercial University",Institute of baode of tianjin university of commerce
天津医科大学临床医学院,4112013661,天津市教委,天津市,本科,民办,Clinical Medical College of Tianjin Medical University,Tianjin medical university clinical medical school
南开大学滨海学院,4112013663,天津市教委,天津市,本科,民办,Nankai University Binhai College,Nankai university binhai college
天津师范大学津沽学院,4112013896,天津市教委,天津市,本科,民办,Jingu College,JinGu college of tianjin normal university
天津理工大学中环信息学院,4112013897,天津市教委,天津市,本科,民办,Central Information College of Tianjin University of Technology,"Tianjin polytechnic university, central institute of information"
北京科技大学天津学院,4112013898,天津市教委,天津市,本科,民办,Tianjin College of Beijing University of Science and Technology,Beijing university of science and technology institute of tianjin
天津大学仁爱学院,4112014038,天津市教委,天津市,本科,民办,Ren Ai College of Tianjin University,Tianjin college of humanity
天津财经大学珠江学院,4112014087,天津市教委,天津市,本科,民办,"Pearl River College, Tianjin University of Finance and Economics",Tianjin university of finance and economics institute of the pearl river
天津市职业大学,4112011032,天津市,天津市,专科,,Tianjin Vocational University,Tianjin vocational college
天津滨海职业学院,4112012484,天津市,天津市,专科,,Tianjin Coastal Polytechnic,Tianjin binhai vocational college
天津工程职业技术学院,4112012487,天津市,天津市,专科,,tianjin engineering technical institute,Tianjin engineering vocational technical college
天津青年职业学院,4112012535,天津市,天津市,专科,,Tianjin Youth Vocational College,Tianjin youth vocational college
天津渤海职业技术学院,4112012719,天津市,天津市,专科,,Tianjin Bohai Vocational and Technical College,Tianjin bohai vocational and technical college
天津电子信息职业技术学院,4112012720,天津市,天津市,专科,,Tianjin Electronic Information Vocational and Technical College,Tianjin electronic information vocational technology college
天津机电职业技术学院,4112012721,天津市,天津市,专科,,Tianjin Institute of Mechanical and Electrical Technology,Tianjin mechanical and electrical professional technology institute
天津现代职业技术学院,4112012722,天津市,天津市,专科,,tianjin modern vocational technology college,Tianjin modern vocational and technical college
天津公安警官职业学院,4112012723,天津市,天津市,专科,,tianjin public security professional college,Tianjin public security police vocational college
天津轻工职业技术学院,4112012732,天津市,天津市,专科,,Tianjin Light Industry Vocational Technical College,Tianjin light industry professional technology institute
天津商务职业学院,4112012788,天津市,天津市,专科,,Tianjin College of Commerce,Tianjin business vocational college
天津国土资源和房屋职业学院,4112012803,天津市,天津市,专科,,Tianjin Vocational College of Land Resources and Housing,Tianjin vocational college of land and real estate
天津医学高等专科学校,4112012880,天津市,天津市,专科,,tianjin medical college,Tianjin medical college
天津开发区职业技术学院,4112012881,天津市,天津市,专科,,teda polytechnic,Teda vocational and technical college
天津艺术职业学院,4112012882,天津市,天津市,专科,,Tianjin Vocational College of Art,Tianjin art vocational college
天津交通职业学院,4112012883,天津市,天津市,专科,,Tianjin Transportation Vocational College,Tianjin transportation vocational college
天津冶金职业技术学院,4112013700,天津市,天津市,专科,,Tianjin Metallurgical Vocational and Technical College,Tianjin metallurgical industry professional technology institute
天津石油职业技术学院,4112013701,天津市,天津市,专科,,Tianjin Petroleum Vocational and Technical College,Tianjin petroleum vocational and technical college
天津城市职业学院,4112013702,天津市,天津市,专科,,Tianjin City Vocational College,Tianjin city vocational college
天津铁道职业技术学院,4112013863,天津市,天津市,专科,,Tianjin Railway Vocational and Technical College,Tianjin railway vocational and technical college
天津工艺美术职业学院,4112013911,天津市,天津市,专科,,Tianjin Vocational College of Arts and Crafts,Tianjin vocational college of arts and crafts
天津城市建设管理职业技术学院,4112014020,天津市,天津市,专科,,Tianjin Vocational and Technical College of Urban Construction Management,Tianjin urban construction management vocational and technical college
天津生物工程职业技术学院,4112014021,天津市,天津市,专科,,Tianjin Bioengineering Vocational and Technical College,Tianjin biological engineering professional technology institute
天津海运职业学院,4112014022,天津市,天津市,专科,,Tianjin Maritime Vocational College,Tianjin maritime vocational college
天津广播影视职业学院,4112014102,天津市,天津市,专科,,"Tianjin Vocational College of Radio, Film and Television","Tianjin institute of radio, film and television career"
天津体育职业学院,4112014599,天津市,天津市,专科,,Tianjin Sports Vocational College,Tianjin sports vocational college
天津滨海汽车工程职业学院,4112014600,天津市教委,天津市,专科,民办,Tianjin Binhai Automobile Engineering Vocational College,Tianjin binhai automotive engineering vocational college
河北大学,4113010075,河北省,保定市,本科,,Hebei University,Hebei university
河北工程大学,4113010076,河北省,邯郸市,本科,,hebei university of engineering,Hebei university of engineering
河北地质大学,4113010077,河北省,石家庄市,本科,,Hebei University of Geology,Hebei university of geosciences
河北工业大学,4113010080,河北省,天津市,本科,,Hebei University of Technology,Hebei university of technology
华北理工大学,4113010081,河北省,唐山市,本科,,North China University of Technology,North China university of technology
河北科技大学,4113010082,河北省,石家庄市,本科,,Hebei University of Science and Technology,Hebei university of science and technology
河北建筑工程学院,4113010084,河北省,张家口市,本科,,Hebei Institute of Architectural Engineering,Hebei construction engineering college
河北水利电力学院,4113010085,河北省,沧州市,本科,,Hebei Institute of Water Conservancy and Electricity,Hebei institute of hydraulic and electric engineering
河北农业大学,4113010086,河北省,保定市,本科,,Hebei Agricultural University,Hebei agricultural university
河北医科大学,4113010089,河北省,石家庄市,本科,,Hebei Medical University,Hebei medical university
河北北方学院,4113010092,河北省,张家口市,本科,,Hebei North University,Hebei institute of northern
承德医学院,4113010093,河北省,承德市,本科,,Chengde Medical College,Chengde medical college
河北师范大学,4113010094,河北省,石家庄市,本科,,Hebei Normal University,Hebei normal university.
保定学院,4113010096,河北省,保定市,本科,,Baoding University,Baoding academy
河北民族师范学院,4113010098,河北省,承德市,本科,,Hebei Normal University for Nationalities,Hebei normal university of nationalities
唐山师范学院,4113010099,河北省,唐山市,本科,,tangshan teachers college,Tangshan teachers college
廊坊师范学院,4113010100,河北省,廊坊市,本科,,Langfang Teachers College,Langfang normal college
衡水学院,4113010101,河北省,衡水市,本科,,,Hengshui college
石家庄学院,4113010102,河北省,石家庄市,本科,,Shijiazhuang University,Shijiazhuang college
邯郸学院,4113010103,河北省,邯郸市,本科,,Handan College,Handan college
邢台学院,4113010104,河北省,邢台市,本科,,Xingtai University,xingtai
沧州师范学院,4113010105,河北省,沧州市,本科,,cangzhou normal university,Cangzhou normal university
石家庄铁道大学,4113010107,河北省,石家庄市,本科,,Shijiazhuang Tiedao University,Shijiazhuang railway university
燕山大学,4113010216,河北省,秦皇岛市,本科,,Yanshan University,Yanshan university
河北科技师范学院,4113010798,河北省,秦皇岛市,本科,,Hebei Normal University of Science & Technology,Hebei normal university of science and technology
唐山学院,4113011033,河北省,唐山市,本科,,tangshan college,Tangshan college
华北科技学院,4113011104,国家安全生产监督管理总局,廊坊市,本科,,North China University of Science and Technology,North China institute of science and technology
中国人民武装警察部队学院,4113011105,公安部,廊坊市,本科,,Chinese People's Armed Police Academy,Institute of the Chinese people's armed police forces
河北体育学院,4113011236,河北省,石家庄市,本科,,hebei institute of physical education,Hebei institute of sport
河北金融学院,4113011420,河北省,保定市,本科,,Hebei Finance University,Hebei institute of financial
北华航天工业学院,4113011629,河北省,廊坊市,本科,,Beihua Institute of Aerospace Technology,North China institute of aerospace industry
防灾科技学院,4113011775,中国地震局,廊坊市,本科,,College of Disaster Prevention Science and Technology,Disaster prevention institute of science and technology
河北经贸大学,4113011832,河北省,石家庄市,本科,,Hebei University of Economics and Trade,Hebei university of economy and trade
中央司法警官学院,4113011903,司法部,保定市,本科,,Central Academy of Judicial Police Officers,The central judicial police academy
河北传媒学院,4113012784,河北省教育厅,石家庄市,本科,民办,Hebei Media College,Hebei institute of media
河北工程技术学院,4113012796,河北省教育厅,石家庄市,本科,民办,Hebei Institute of Engineering and Technology,Hebei institute of engineering technology
河北美术学院,4113013075,河北省教育厅,石家庄市,本科,民办,Hebei Academy of Fine Arts,Hebei academy of fine arts
河北科技学院,4113013391,河北省教育厅,保定市,本科,民办,Hebei Institute of Science and Technology,Hebei institute of technology
河北外国语学院,4113013402,河北省教育厅,石家庄市,本科,民办,Hebei Institute of Foreign Languages,Hebei institute of foreign languages
河北大学工商学院,4113013404,河北省教育厅,保定市,本科,民办,Business School of Hebei University,Hebei university business school
华北理工大学轻工学院,4113013408,河北省教育厅,唐山市,本科,民办,"College of Light Industry, North China University of Technology",North China university of technology institute of light industry
河北科技大学理工学院,4113013409,河北省教育厅,石家庄市,本科,民办,Polytechnic College of Hebei University of Science and Technology,Hebei university of science and technology institute of technology
河北师范大学汇华学院,4113013411,河北省教育厅,石家庄市,本科,民办,Huihua College of Hebei Normal University,Hebei normal university institute of China
河北经贸大学经济管理学院,4113013414,河北省教育厅,石家庄市,本科,民办,"School of Economics and Management, Hebei University of Economics and Trade",Hebei university of economic and trade institute of economic management
河北医科大学临床学院,4113013415,河北省教育厅,石家庄市,本科,民办,Clinical College of Hebei Medical University,Hebei medical university institute of clinical
华北电力大学科技学院,4113013417,河北省教育厅,保定市,本科,民办,"College of Science and Technology, North China Electric Power University",North China electric power university institute of science and technology
河北工程大学科信学院,4113013578,河北省教育厅,邯郸市,本科,民办,"College of Science and Information Technology, Hebei University of Engineering",Hebei institute of engineering major discipline letter
河北工业大学城市学院,4113013584,河北省教育厅,廊坊市,本科,民办,City College of Hebei University of Technology,City college of hebei university of technology
燕山大学里仁学院,4113013592,河北省教育厅,秦皇岛市,本科,民办,"Liren College, Yanshan University",Yanshan university institute of humanity
石家庄铁道大学四方学院,4113013593,河北省教育厅,石家庄市,本科,民办,Sifang College of Shijiazhuang Railway University,Sifang institute of shijiazhuang railway university
河北地质大学华信学院,4113013594,河北省教育厅,石家庄市,本科,民办,Huaxin College of Hebei University of Geosciences,Hebei geological college of huaxin
河北农业大学现代科技学院,4113013595,河北省教育厅,保定市,本科,民办,"College of Modern Science and Technology, Hebei Agricultural University","Hebei agricultural university, institute of modern science and technology"
华北理工大学冀唐学院,4113013596,河北省教育厅,唐山市,本科,民办,"Jitang College, North China University of Technology",North China university of technology institute of ji tang
中国地质大学长城学院,4113013891,河北省教育厅,保定市,本科,民办,"Great Wall College, China University of Geosciences",China university of geosciences Great Wall college
燕京理工学院,4113013895,河北省教育厅,廊坊市,本科,民办,Yanjing Institute of Technology,Harvard-yenching institute of technology
北京中医药大学东方学院,4113013899,河北省教育厅,廊坊市,本科,民办,Oriental College of Beijing University of Traditional Chinese Medicine,Beijing university of Chinese medicine institute of east
北京交通大学海滨学院,4113014202,河北省教育厅,沧州市,本科,民办,Coastal College of Beijing Jiaotong University,Institute of Beijing jiaotong university beach
河北东方学院,4113014225,河北省教育厅,廊坊市,本科,民办,Hebei Oriental College,Hebei institute of Oriental
河北中医学院,4113014432,河北省,石家庄市,本科,,Hebei College of Traditional Chinese Medicine,Hebei college of traditional Chinese medicine
张家口学院,4113014458,河北省,张家口市,本科,,Zhangjiakou College,School of zhangjiakou
河北环境工程学院,4213051721,河北省,秦皇岛市,本科,,Hebei College of Environmental Engineering,Hebei institute of environmental engineering
河北工业职业技术学院,4113010873,河北省,石家庄市,专科,,Hebei Industrial Vocational and Technical College,Hebei industrial vocational and technical college
邯郸职业技术学院,4113011034,河北省,邯郸市,专科,,handan polytechnic college,Handan vocational and technical college
石家庄职业技术学院,4113011238,河北省,石家庄市,专科,,Shijiazhuang vocational technology institute,Shijiazhuang vocational technology institute
张家口职业技术学院,4113011423,河北省,张家口市,专科,,zhangjiakou vocational and technical college,Zhangjiakou vocational and technical college
承德石油高等专科学校,4113011777,河北省,承德市,专科,,chengde petroleum college,Chengde petroleum college
邢台职业技术学院,4113011821,河北省,邢台市,专科,,xingtai polytechnic college,Xingtai vocational and technical college
河北软件职业技术学院,4113012352,河北省,保定市,专科,,hebei software institute,Hebei software professional technology institute
河北石油职业技术学院,4113012367,河北省,廊坊市,专科,,hebei technical college of petroleum profession,Hebei petroleum vocational and technical college
河北建材职业技术学院,4113012389,河北省,秦皇岛市,专科,,Hebei Building Materials Vocational and Technical College,Hebei vocational and technical college building materials
河北政法职业学院,4113012408,河北省,石家庄市,专科,,Hebei Vocational College of Politics and Law,Hebei vocational college of politics and law
沧州职业技术学院,4113012415,河北省,沧州市,专科,,Cangzhou Vocational and Technical College,Cangzhou vocational and technical college
河北能源职业技术学院,4113012418,河北省,唐山市,专科,,Hebei Energy Vocational and Technical College,Energy in hebei vocational and technical college
石家庄铁路职业技术学院,4113012424,河北省,石家庄市,专科,,shijiazhuang institute of railway technology,Shijiazhuang railway vocational and technical college
保定职业技术学院,4113012543,河北省,保定市,专科,,baoding vocational and technical college,Baoding vocational and technical college
秦皇岛职业技术学院,4113012773,河北省,秦皇岛市,专科,,Qinhuangdao Vocational and Technical College,Qinhuangdao vocational and technical college
石家庄工程职业学院,4113012782,河北省教育厅,石家庄市,专科,民办,Shijiazhuang Vocational College of Engineering,Shijiazhuang engineering vocational college
石家庄城市经济职业学院,4113012783,河北省教育厅,石家庄市,专科,民办,Shijiazhuang City Economic Vocational College,Shijiazhuang city vocational college
唐山职业技术学院,4113012785,河北省,唐山市,专科,,Tangshan Vocational and Technical College,Tangshan vocational and technical college
衡水职业技术学院,4113012786,河北省,衡水市,专科,,,Hengshui professional technology institute
唐山工业职业技术学院,4113012787,河北省,唐山市,专科,,Tangshan Industrial Vocational and Technical College,Tangshan industrial vocational and technical college
邢台医学高等专科学校,4113012884,河北省,邢台市,专科,,xingtai medical college,Xingtai medical college
河北省艺术职业学院,4113012885,河北省,石家庄市,专科,,Hebei Vocational College of Arts,Hebei art vocational college
河北旅游职业学院,4113012887,河北省,承德市,专科,,Hebei Vocational College of Tourism,Hebei tourism vocational college
石家庄财经职业学院,4113013070,河北省教育厅,石家庄市,专科,民办,Shijiazhuang Vocational College of Finance and Economics,Shijiazhuang vocational college of finance and economics
河北交通职业技术学院,4113013071,河北省,石家庄市,专科,,Hebei Communications Vocational and Technical College,Hebei traffic vocational and technical college
河北化工医药职业技术学院,4113013072,河北省,石家庄市,专科,,Hebei Chemical and Pharmaceutical Vocational and Technical College,Hebei chemical pharmaceutical vocational and technical college
石家庄信息工程职业学院,4113013073,河北省,石家庄市,专科,,shijiazhuang information engineering vocational college,Shijiazhuang information engineering vocational college
河北对外经贸职业学院,4113013074,河北省,秦皇岛市,专科,,Hebei Vocational College of Foreign Trade and Economics,Hebei province's foreign economic and trade vocational college
保定电力职业技术学院,4113013392,河北省,保定市,专科,,Baoding Electric Power Vocational and Technical College,Baoding electric power vocational technology college
河北机电职业技术学院,4113013393,河北省,邢台市,专科,,Hebei Institute of Mechanical and Electrical Technology,Hebei mechanical and electrical professional technology institute
渤海石油职业学院,4113013394,河北省,沧州市,专科,,Bohai Petroleum Vocational College,The bohai sea oil vocational college
廊坊职业技术学院,4113013395,河北省,廊坊市,专科,,Langfang Vocational and Technical College,Langfang vocational and technical college
唐山科技职业技术学院,4113013396,河北省,唐山市,专科,,Tangshan Vocational and Technical College of Science and Technology,Tangshan vocational college of science and technology
石家庄邮电职业技术学院,4113013397,河北省,石家庄市,专科,,Shijiazhuang Vocational and Technical College of Posts and Telecommunications,Shijiazhuang post vocational and technical college
河北公安警察职业学院,4113013398,河北省,石家庄市,专科,,Hebei Police Vocational College,Hebei province public security police vocational college
石家庄工商职业学院,4113013399,河北省教育厅,石家庄市,专科,民办,Shijiazhuang Industrial and Commercial Vocational College,Shijiazhuang vocational college of industry and commerce
石家庄理工职业学院,4113013400,河北省教育厅,石家庄市,专科,民办,Shijiazhuang Polytechnic Vocational College,Shijiazhuang vocational college of science and technology
石家庄科技信息职业学院,4113013403,河北省教育厅,石家庄市,专科,民办,Shijiazhuang Vocational College of Science and Technology Information,Shijiazhuang vocational college of science and technology information
河北司法警官职业学院,4113013690,河北省,邯郸市,专科,,Hebei Judicial Police Officer Vocational College,Hebei judicial police vocational college
沧州医学高等专科学校,4113013779,河北省,沧州市,专科,,Cangzhou Medical College,Cangzhou medical college
河北女子职业技术学院,4113013822,河北省,石家庄市,专科,,hebei women's vocational college,Hebei women's vocational and technical college
石家庄医学高等专科学校,4113014018,河北省教育厅,石家庄市,专科,民办,Shijiazhuang Medical College,Shijiazhuang medical college
